Feature,Importance
Credit_History,0.2584155868845819
LoanAmount,0.20815177168250618
ApplicantIncome,0.131840655681415
CoapplicantIncome,0.1022755251002944
Loan_Amount_Term,0.03648067467514513
Education_Graduate,0.035185602397112825
Education_Not Graduate,0.03484285620143364
Dependents_0,0.02912280355307538
Married_Yes,0.018951536000373807
Property_Area_Semiurban,0.015599806208813696
Married_No,0.01551619815765211
Dependents_1,0.015451345773714691
Property_Area_Urban,0.01520604773042184
Self_Employed_Yes,0.014725555608183283
Gender_Male,0.014300745509550052
